"ts","block","val"
"2021-05-01T20:27:02.000000Z",681408,20608845737768
"2021-05-13T08:58:58.000000Z",683424,25046487590083
"2021-05-30T01:18:41.000000Z",685440,21047730572451
"2021-06-13T20:07:16.000000Z",687456,19932791027262
"2021-07-03T06:34:06.000000Z",689472,14363025673659
"2021-07-17T23:32:17.000000Z",691488,13672594272814
"2021-07-31T04:35:26.000000Z",693504,14496442856349
"2021-08-13T05:53:47.000000Z",695520,15556093717702
"2021-08-25T14:41:16.000000Z",697536,17615033039278
"2021-09-08T00:30:45.000000Z",699552,18415156832118
"2021-09-21T14:34:36.000000Z",701568,18997641161758
"2021-10-04T23:35:19.000000Z",703584,19893045048575
"2021-10-18T20:25:57.000000Z",705600,20082460130830
"2021-10-31T19:59:30.000000Z",707616,21659344833264
"2021-11-14T05:15:27.000000Z",709632,22674148233453
"2021-11-28T10:30:08.000000Z",711648,22335659268936
